brand;product_name;category;subcategory;price_pln;size_ml;skin_types;skin_concerns;key_ingredients;avoid_if;fragrance_free;pregnancy_safe;barrier_friendly;comedogenic_risk;recommended_step;usage_time;usage_frequency;short_reason;source_url
BasicLab;Serum z trehalozą 10% i 5% peptydem, Nawilżenie i Wypełnienie;serum;nawilżające;169.90;30;sucha|wrażliwa|odwodniona|normalna;odwodnienie|bariera|zmarszczki;trehaloza 10%|peptyd biomimetyczny 5%|kwas hialuronowy|pantenol;;tak;tak;tak;niskie;serum;rano i wieczorem;codziennie;Kultowe serum nawilżające z trehalozą – odbudowuje barierę i chroni komórki przed stresem osmotycznym. Świetne jako baza pod kolejne kroki.;https://basiclab.shop/pl/products/serum-z-trehaloza-10-i-5-peptydem-nawilzenie-i-wypelnienie-15
BasicLab;Serum regenerujące strukturę skóry z ceramidami 1%, Sprężystość i Odbudowa;serum;regenerujące;169.90;30;sucha|wrażliwa|dojrzała|naczynkowa;bariera|suchość|podrażnienia|zmarszczki;ceramidy 1%|skwalan|fitosfingozynowy kompleks|prebiotyki;;tak;tak;tak;niskie;serum;rano i wieczorem;codziennie;Odbudowuje barierę hydrolipidową ceramidami – idealne po uszkodzeniu bariery, retinoidach czy zabiegach.;https://basiclab.shop/pl/products/serum-regenerujace-strukture-skory-z-ceramidami-1-sprezystosc-i-odbudowa-27
BasicLab;Serum regenerujące z ceramidami 1% i kompleksem peptydów 5%, Sprężystość i Odbudowa;serum;regenerujące;169.90;30;sucha|wrażliwa|dojrzała;bariera|zmarszczki|utrata jędrności;ceramidy 1%|kompleks peptydów 5%|skwalan|prebiotyki;;tak;tak;tak;niskie;serum;rano i wieczorem;codziennie;Wersja ceramidowa wzbogacona peptydami – regeneracja bariery + wsparcie anti-aging w jednym.;https://basiclab.shop/pl/products/serum-regenerujace-strukture-skory-z-ceramidami-1-i-kompleksem-peptydow-5-sprezystosc-i-odbudowa-28
BasicLab;Serum ujędrniające z 0,5% czystych peptydów miedziowych, Elastyczność i Wypełnienie;serum;anti-aging;269.90;30;dojrzała|wrażliwa|mieszana|normalna;zmarszczki|utrata jędrności|przebarwienia;peptydy miedziowe 0.5%|koenzym Q10|witamina E|skwalan;kwasy (w tej samej rutynie)|witamina C (w tej samej rutynie);tak;nie;tak;niskie;serum;wieczorem;codziennie;Złoty standard anti-aging BasicLab – peptydy miedziowe stymulują produkcję kolagenu i przyspieszają regenerację.;https://basiclab.shop/pl/products/serum-ujedrniajace-z-0-5-czystych-peptydow-miedziowych-elastycznosc-i-wypelnienie-163
BasicLab;Ujędrniające serum wygładzające 0,7% peptydów miedziowych, 30% peptydów prokolagenowych, 1,0% PDRN;serum;anti-aging;299.90;30;dojrzała|wrażliwa|normalna;zmarszczki|utrata jędrności|regeneracja;peptydy miedziowe 0.7%|peptydy prokolagenowe 30%|PDRN 1%|koenzym Q10;kwasy (w tej samej rutynie)|witamina C (w tej samej rutynie);tak;nie;tak;niskie;serum;wieczorem;codziennie;Najsilniejsze serum anti-aging BasicLab – potrójna formuła z PDRN i peptydami miedziowymi. Nowość 2025.;https://basiclab.shop/pl/products/ujedrniajace-serum-wygladzajace-0-7-czystych-peptydow-miedziowych-30-kompleksu-peptydow-prokolagenowych-1-0-czystego-pdrn-wypelnienie-i-lifting-907
BasicLab;Serum z witaminą C 15%, Nawilżenie i Rozświetlenie;serum;rozświetlające;99.90;30;normalna|mieszana|sucha|dojrzała;przebarwienia|szary koloryt|antyoksydacja;witamina C (Ascorbyl Tetraisopalmitate) 15%|witamina E|skwalan;retinol (w tej samej rutynie);tak;tak;tak;niskie;serum;rano;codziennie;Stabilna forma witaminy C w emulsji olejowej – rozświetla, wyrównuje koloryt i chroni przed wolnymi rodnikami. Bestseller.;https://basiclab.shop/pl/products/serum-z-witamina-c-15-nawilzenie-i-rozswietlenie-342
BasicLab;Serum z witaminą C 10%, Napięcie i Wzmocnienie;serum;rozświetlające;99.90;30;normalna|mieszana|wrażliwa;przebarwienia|szary koloryt|antyoksydacja|pierwszezmarszczki;witamina C (Ascorbyl Glucoside) 10%|koenzym Q10|kwas hialuronowy;;tak;tak;tak;niskie;serum;rano;codziennie;Łagodniejsza forma witaminy C (glukozyd) – dobra opcja rozświetlająca na start, wodna konsystencja.;https://basiclab.shop/pl/products/serum-z-witamina-c-10-napiecie-i-wzmocnienie-340
BasicLab;Antyoksydacyjne serum wyrównujące z wit. C 15%, Rozświetlenie i Wyciszenie;serum;rozświetlające;169.90;30;normalna|mieszana|dojrzała|wrażliwa;przebarwienia|szary koloryt|zmarszczki|antyoksydacja;witamina C 15%|kwas ferulowy|floretyna|resweratrol|witamina E;;tak;tak;tak;niskie;serum;rano;codziennie;Zaawansowane serum antyoksydacyjne z synergia wit. C + kwas ferulowy + floretyna. Silna ochrona przed fotostarzeniem.;https://basiclab.shop/pl/products/antyoksydacyjne-serum-wyrownujace-z-wit-c-15-rozswietlenie-i-wyciszenie-36
BasicLab;Emulsyjne serum z 0,3% czystego retinolu, 3% wit. C i koenzymem Q10, Odnowa i Stymulacja;serum;retinol;169.90;30;normalna|mieszana|dojrzała;zmarszczki|przebarwienia|tekstura|utrata jędrności;retinol 0.3%|witamina C 3%|koenzym Q10|skwalan|witamina E;ciąża|karmienie piersią|kwasy AHA/BHA (w tej samej rutynie);tak;nie;nie;niskie;serum;wieczorem;2-3x/tydzień (stopniowo codziennie);Średnie stężenie retinolu w emulsji – dobry następny krok po 0.1%. Wspomaga odnowę komórkową i redukcję zmarszczek.;https://basiclab.shop/pl/products/emulsyjne-serum-z-0-3-czystego-retinolu-3-witamina-c-i-koenzymem-q10-odnowa-i-stymulacja-64
BasicLab;Serum z czystym retinolem 0,5%, Odnowa i Stymulacja;serum;retinol;159.90;30;normalna|mieszana|dojrzała|tłusta;zmarszczki|przebarwienia|tekstura|trądzik;retinol 0.5%|skwalan|witamina E|koenzym Q10;ciąża|karmienie piersią|kwasy AHA/BHA (w tej samej rutynie)|wrażliwa skóra bez adaptacji;tak;nie;nie;niskie;serum;wieczorem;2-3x/tydzień;Silne stężenie retinolu – dla skóry przyzwyczajonej do retinoidów. Intensywna odnowa i redukcja przebarwień.;https://basiclab.shop/pl/products/serum-z-czystym-retinolem-0-5-odnowa-i-stymulacja-10
